Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/alerts,10610,0,140.0,133.38510430018857,0.8055409999996321,394.9756670000042,3411.0,179.73564216175194,0.0,140,160,170,180,210,230,250,260,360,390,390
POST,/events,10608,0,74,74.160731190234,0.7599169999999988,302.0842919999964,53.0,179.70176173910127,0.0,74,91,100,110,120,140,150,160,190,230,300
,Aggregated,21218,0,99,103.77570897780161,0.7599169999999988,394.9756670000042,1732.1582618531436,359.4374039008532,0.0,99,120,140,160,180,210,230,250,320,390,390
