Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/alerts,8685,0,1400.0,1382.3037895970028,2.1896659999999235,2944.805459,3411.0,72.15241943960038,0.0,1400,1500,1500,1500,1600,1700,1800,1900,2400,2900,2900
POST,/events,8720,0,560.0,563.7670898475938,11.457582999999993,1842.1417499999998,53.0,72.44318912070412,0.0,560,600,630,640,690,730,800,870,1600,1800,1800
,Aggregated,17405,0,770.0,972.2124352841633,2.1896659999999235,2944.805459,1728.623671358805,144.5956085603045,0.0,770,1300,1400,1400,1500,1600,1700,1800,2100,2800,2900
