Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/alerts,5098,0,2500.0,2281.06249235249,47.30050000000019,3494.823374999996,3411.0,84.64694411697937,0.0,2500,2800,2900,2900,3100,3200,3300,3400,3500,3500,3500
POST,/events,5250,0,900.0,841.5423635070466,21.59325000000001,2003.2586250000008,53.0,87.17074472619491,0.0,900,1000,1100,1100,1100,1200,1300,1300,1700,2000,2000
,Aggregated,10348,0,1100.0,1550.7299955957687,21.59325000000001,3494.823374999996,1707.3374565133358,171.8176888431743,0.0,1100,2100,2400,2600,2900,3100,3300,3300,3400,3500,3500
